 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD         uJy       duJy     stdev       x2         m       dm
57305.5      0      4          0       0 57305.237805   -2.499103  12.541767 13.647344 0.301249 19.961300      NaN
57306.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57307.5      0      1          0    8192 57307.267653   -2.000000  23.490110       NaN      NaN 19.279984      NaN
57308.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57309.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57310.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57311.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57312.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57313.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57314.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57315.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57316.5      0      3          0       0 57316.274052  -19.702745  18.771986 17.097758 0.296969 19.523421      NaN
57317.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57318.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57319.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57320.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57321.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57322.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57323.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57324.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57325.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57326.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57327.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57328.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57329.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57330.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57331.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57332.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57333.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57334.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57335.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57336.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57337.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57338.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57339.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57340.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57341.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57342.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57343.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57344.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57345.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57346.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57347.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57348.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57349.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57350.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57351.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57352.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57353.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57354.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57355.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57356.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57357.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57358.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57359.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57360.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57361.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57362.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57363.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57364.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57365.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57366.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57367.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57368.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57369.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57370.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57371.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57372.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57373.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57374.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57375.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57376.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57377.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57378.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57379.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57380.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57381.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57382.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57383.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57384.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57385.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57386.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57387.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57388.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57389.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57390.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57391.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57392.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57393.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57394.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57395.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57396.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57397.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57402.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN         NaN        NaN       NaN      NaN       NaN      NaN
